osmid,y,x,street_count,highway,ref,geometry
104207334,40.4956195,-79.9212154,3,,,POINT (-79.92121539999999 40.4956195)
104207692,40.4854345,-80.0151028,3,,,POINT (-80.01510279999999 40.4854345)
104207700,40.4861526,-80.0153548,3,,,POINT (-80.0153548 40.4861526)
104207725,40.4041929,-80.017954,1,,,POINT (-80.017954 40.4041929)
104208711,40.4519415,-80.0190572,3,,,POINT (-80.01905720000001 40.4519415)
104208716,40.4523824,-80.0166608,4,,,POINT (-80.0166608 40.4523824)
104210061,40.4137966,-79.9970354,3,,,POINT (-79.9970354 40.4137966)
104210103,40.4179055,-79.9983318,3,,,POINT (-79.9983318 40.4179055)
104210111,40.4178898,-79.9988016,3,,,POINT (-79.99880159999999 40.4178898)
104210371,40.4008229,-79.9860936,4,,,POINT (-79.9860936 40.4008229)
104210379,40.4003842,-79.9859365,4,,,POINT (-79.98593649999999 40.4003842)
104210392,40.3996836,-79.9857272,3,,,POINT (-79.9857272 40.3996836)
104211469,40.3998531,-79.9864729,3,,,POINT (-79.9864729 40.3998531)
104211480,40.3997653,-79.9869342,3,,,POINT (-79.98693419999999 40.3997653)
104211490,40.3996754,-79.9874224,4,,,POINT (-79.9874224 40.3996754)
104211495,40.3995753,-79.9880661,4,,,POINT (-79.9880661 40.3995753)
104213049,40.4148596,-79.9723521,4,,,POINT (-79.97235209999999 40.4148596)
104213067,40.4156143,-79.9722238,3,,,POINT (-79.97222379999999 40.4156143)
104213084,40.4169315,-79.9685653,3,,,POINT (-79.96856529999999 40.4169315)
104213092,40.417005,-79.9690159,3,,,POINT (-79.9690159 40.417005)
104213848,40.4313717,-79.9368645,4,,,POINT (-79.9368645 40.4313717)
104214302,40.3927187,-79.9153859,1,,,POINT (-79.9153859 40.3927187)
104214311,40.3920087,-79.9159267,1,,,POINT (-79.9159267 40.3920087)
104215022,40.4680961,-79.8986136,1,,,POINT (-79.8986136 40.4680961)
104215283,40.4228206,-80.0027957,3,,,POINT (-80.00279569999999 40.4228206)
104215294,40.4232392,-80.0033402,3,,,POINT (-80.0033402 40.4232392)
104215792,40.4528736,-79.9333146,3,,,POINT (-79.9333146 40.4528736)
104215802,40.4515477,-79.9326175,3,,,POINT (-79.93261750000001 40.4515477)
104215888,40.4530572,-79.9349307,3,,,POINT (-79.9349307 40.4530572)
104215894,40.453204,-79.9344913,3,,,POINT (-79.9344913 40.453204)
104215906,40.4533626,-79.9340243,3,,,POINT (-79.9340243 40.4533626)
104217109,40.493337,-79.9384738,1,,,POINT (-79.9384738 40.493337)
104217557,40.4586547,-79.9957866,3,,,POINT (-79.9957866 40.4586547)
104217567,40.4580864,-79.9955713,3,,,POINT (-79.99557129999999 40.4580864)
104217578,40.4581244,-79.9944331,4,,,POINT (-79.99443309999999 40.4581244)
104217588,40.458099,-79.995507,4,,,POINT (-79.995507 40.458099)
104218770,40.4919367,-79.9877366,3,,,POINT (-79.98773660000001 40.4919367)
104244803,40.4900307,-79.9704465,1,,,POINT (-79.97044649999999 40.4900307)
104244913,40.483531,-79.9079253,3,,,POINT (-79.9079253 40.483531)
104244965,40.4230817,-79.9477505,3,,,POINT (-79.9477505 40.4230817)
104244971,40.4227646,-79.9475489,3,,,POINT (-79.9475489 40.4227646)
104244984,40.4224398,-79.947363,4,,,POINT (-79.947363 40.4224398)
104245028,40.4228331,-79.948626,4,,,POINT (-79.948626 40.4228331)
104245033,40.4232516,-79.948883,1,,,POINT (-79.948883 40.4232516)
104245774,40.4297049,-80.0197212,1,,,POINT (-80.01972120000001 40.4297049)
104245786,40.4298103,-80.0195179,3,,,POINT (-80.0195179 40.4298103)
104245818,40.4336405,-79.8933384,3,,,POINT (-79.8933384 40.4336405)
104245843,40.4338294,-79.8928684,3,,,POINT (-79.8928684 40.4338294)
104245863,40.4340363,-79.8923745,4,,,POINT (-79.8923745 40.4340363)
104245872,40.4342608,-79.8918815,3,,,POINT (-79.8918815 40.4342608)
104245885,40.4344639,-79.8913909,4,,,POINT (-79.8913909 40.4344639)
104245897,40.4346513,-79.8909169,3,,,POINT (-79.89091689999999 40.4346513)
104246050,40.4168266,-79.9336105,3,,,POINT (-79.9336105 40.4168266)
104246071,40.4159522,-79.9333594,3,,,POINT (-79.9333594 40.4159522)
104246098,40.4154163,-79.9314424,3,,,POINT (-79.93144239999999 40.4154163)
104246143,40.4136331,-79.9299862,3,,,POINT (-79.9299862 40.4136331)
104246167,40.4468182,-79.9747236,4,,,POINT (-79.9747236 40.4468182)
